Customer_ID,star rating,Day,Month,Year, Seat Type,Departure,Arrival,Via,traveler_types,country,status,reviews
11,2,29,January,2023,Economy Class,Boston , Millbury        ,Direct Flight,Family Leisure,United States,Not Verified ," We had absolutely amazing flight experience. However, we left Boston with 6 people out of 12 who had never flown 2 being infants and the experience getting on the plane was horrible. They were so rude to the people who were inexperienced flyers. We were shocked as 2 had infants and one was disabled."
12,1,28,January,2023,Economy Class,Montego Bay , New York      ,Direct Flight,Family Leisure,United States,Not Verified ," Despite the rudeness at the JFK airport, the flight to Jamaica was absolutely great! The flight attendants were very nice, and the snacks were delicious! They also had Coca-Cola. The TV on the airline was not the best, but everything else was great! Before we knew it, we had landed in Montego Bay, Jamaica. I highly recommend this airline!"
13,9,25,January,2023,Premium Economy,Orlando , Minneapolis        ,Direct Flight,Solo Leisure,United States, Trip Verified ,"  I purchased this ticket in September 2022 and chose my seat. I received email confirmation. The day before this flight, I received a notice that the airplane would be changed, but there was no mention of the need to get a new seat assignment. When I checked in via phone, I received confirmation of checking in, but no indication of the need to choose a seat. When I arrived at the airport, I was shocked to discover that I no longer had a seat on the plan. After a long conversation with a very unhelpful and unsympathetic agent, he assigned me to a window seat in the very back of the plane. The plane was dirty, smelly, and only one of the video screens in our row actually worked, which made even more people angry. My daughter and grandson were told they didn't have seats on the plane at all and had to wait until the whole plane was loaded to be placed in random seats, so our party could not sit together. I am exceptionally disappointed in how I was treated. I purchased a seat, but for some reason, my purchase was not honored."
14,1,22,January,2023,Economy Class,Tokyo , Los Angeles , Detroit     ,Solo Leisure,South Korea, Trip Verified ,"  I like Delta a lot especially amongst US legacy carriers. The hard products are fantastic, such as the free inflight wifi I am using to write this review now at 35000 feet. My international leg from Tokyo to Detroit was decent-comfortable comfort plus seat, entertainment and amenities. The crew aboard was an older team, hence just went through the motions without much personal touch. The meals on the international leg left a lot to be desired as it lacked quantity and substance. I was hungry. My second leg was nice too. Crew were very friendly, present and eager to provide customer service. Enjoyed the abundance of free snacks and drink rounds. I loved the Delta beer that is unique to only Delta. Overall, Delta has the ball on its operation and I appreciate all the investments they are making, which makes their service fairly consistent."
15,8,21,January,2023,Economy Class,Bogota , New York       ,Direct Flight,Solo Leisure,United States, Trip Verified ,"  As a loyal Delta customer I was a little disappointed with some crew members not being the nicest on this flight otherwise it would have been a usual five star delta rating. Check in at El Dorado was a breeze and people who work for Delta at the airport were quite nice. As usual I try to board the plane last if I fly economy in case there is an empty row and to my surprise half the flight was full so rather than sitting next to someone the lead flight attendant said I could sit anywhere and I sat behind the exit row. Prior to take off one of the crew members was quite rude to a Spanish speaking customer, made a comment about how he needed to learn English and kept on complaining to his co-worker how tired he was and this and that. Definitely not professional, and non the less rude especially considering youâ€™re on a flight from Latin America to the United States. Every seat had a blanket and pillow, prior to take off we were provided with hand sanitizer, a small amenity kit with ear plugs and an eye mask and headphones. After take off drinks and a small snack consisting of a cold pastry with chicken, fruit and a chocolate were given out along with drinks including alcoholic beverages. In the back galley there were snacks for anyone who wasnâ€™t asleep on this red eye. Aside from that crew member everyone else was very professional and nice as usual. Thereâ€™s a good selection of movies and music but nothing had changed from what they had the month before when I flew to Bogota. Overall I would say 8/10."
16,8,20,January,2023,Business Class,Jackson , Jacksonville , Atlanta      ,Solo Leisure,United States,Not Verified ,"  I gave up an assigned seat for a passenger traveling with his family in order that he could fly with his wife and two children. I was offered compensation of $500 and a full ticket to fly at a later date. I did receive the ticket, but only half the money. As of today's date of 20 January, 2023, I've only received $250 of the $500. I've contacted Delta Airlines over 18 times, and was told this morning it will probably be another 7 to 10 days before I hear back if Delta has resolve this problem. I will never fly Delta Airlines again, and if I have no other choice but to, I definitely will never volunteer to give up a seat to fly at a later date! This has been pain in the ass trying to collect the $250 owed to me, and I still haven't received the money!"
17,1,20,January,2023,Economy Class,New Orleans , Frankfurt       ,Direct Flight,Couple Leisure,United States, Trip Verified ," Considering it was the holidays, there were minimal issues. The staff were friendly on both legs of my trip. The airport had passport issues but nothing on the part of Delta. My bags arrived to both destinations on time. I fly Delta 3-4 times a year and always been on time without incident. Friendly, efficient, timely, couldn't ask for more in this insane world of travel."
18,8,20,January,2023,Economy Class,Atlanta , Panama City       ,Direct Flight,Couple Leisure,United States,Not Verified ,"  Awful experience. We boarded the plane and backed out of the gate when the pilot came on and told us our flight was cancelled due to fog. (Which is fine better safe than sorry) but the next flight wasn't scheduled until 8:45 am the next day. The Atlanta Airport is an absolute nightmare. There were no hotels available in the area and no rental cars available. Delta offered no assistance whatsoever. No compensation, not even a food voucher. We had to sleep in the airport which was scary to say the least. This was two days ago and we have yet to see any sort of apology or compensation for our terrible experience. They just left us stranded for a whole night. They would not even give us our luggage when we were trying to find a rental car. To get from Las Vegas back to PCB took a day and a half. We could have just driven and gotten there sooner."
19,2,20,January,2023,Economy Class,Buffalo , Myrtle Beach , Detroit     ,Solo Leisure,United States, Trip Verified ,"  I planned a trip to visit my daughter for New Year's as I was unable to see her or any of my family for Christmas due to the storm. My first flight was delayed over an hour due to ""mechanical issues"" causing me to miss my connecting flight in Detroit by 10-15 minutes, and passengers were not allowed to de-board the plane and opt to stay in Buffalo rather than continue with the flight. Despite requests from my daughter, who had the same connection in Detroit, Delta would not hold the plane so that I could make the connection. My daughter was able to change the itinerary so that I could still make it before midnight, but it involved me now flying 4 flights rather than 2. Again, the 3rd flight was delayed causing me to miss my connecting flight by 10-15 minutes again, and again Delta was unwilling to hold the plane. Because of this, I was forced to stay in Atlanta overnight by myself instead of spending the holiday with my family. I reached out to Delta's customer service requesting a refund but they would only offer a $100 travel voucher (mind you, my ticket was about $260 initially) as the itinerary was already flown (despite the fact that the only reason I flew the itinerary is because I was not allowed off my plane in Buffalo). I requested numerous times to be escalated to a supervisor but the Delta customer service rep refused, and then responded saying she would no longer respond to my correspondence. I have now been left with no choice but to file complaints with the BBB and DOT. Needless to say, neither myself nor my family will ever be flying with Delta again, and I would advise to anyone I know the same."
20,1,18,January,2023,Economy Class,Tokyo , Toronto , Detroit      ,Business,Canada, Trip Verified ,  I was waiting to collect my checked-in baggage for more than an hour before I was told by Delta that they have mishandled my baggage and so it will not arrive on the same day. The baggage arrived at midnight of the next day. Awful experience.
21,1,17,January,2023,Economy Class,Burlington , New York JFK      ,Direct Flight,Couple Leisure,United States, Trip Verified ,"  First time flying Delta domestically and surely my last. The stress they put you through definitely is not worth the price. Wouldnâ€™t go through it even if I was being paid for. Catching an early morning itself is stressful enough but Delta just had to make it tougher. I woke up at 3 AM just to find out that my seat had been changed after check in. The lady who handled our baggage failed to mention that to us, the lady who assisted us before boarding promised it will be changed when boarding, have to say not surprised when she couldnâ€™t keep her promise that was made by her own self only minutes ago. Was told to have the cabin attendant assist us but even she was not willing to either. It was if Delta was playing the blame game amongst their own crew which proves how insufficient their service is and how unprofessional they are. Wouldâ€™ve expected a company so big to have a clear understanding of where responsibility stands in certain cases but now we know that doesnâ€™t apply for them. Donâ€™t let Delta ruin your trip because itâ€™s definitely not worth it. Writing this before take off so letâ€™s all hope we at least get to the destination safe."
22,2,16,January,2023,Economy Class,Toronto , New York       ,Direct Flight,Solo Leisure,Canada,Not Verified ,  The worst experience Iâ€™ve ever had on a plane. Delayed an hour from departure due to 1 missing passenger then had to de ice so we were already behind schedule. The pilot let us know after we were all seated that the second in command was going to be flying. Take off was a bit rough but landing was okay. Once we landed we waited from 8:30 to 10:30 in the plane for a gate . 2 FKN hours. Finally got to baggage pickup and our luggage was in the plane for almost 3 hours after letting us off the plane. Spent hours 2-3 in the baggage services room waiting for an update on our luggage. Finally got our luggage and got out at around 1:30 am from a flight that was 1.5 hours and was supposed to arrive at 8
23,1,16,January,2023,Economy Class,Denver , Boston        ,Direct Flight,Couple Leisure,United States,Not Verified ,"  Delta is the only airline I have flown in the last two years that hasnâ€™t been absolutely awful. No worries about a carry on and itâ€™s size, no headaches when delays are communicated, ability to charge your electronic devices on flights, free snacks and drinks, and comfortable planes. Our flight the other day was stuck on the tarmac for 3+ hours and the airline credited us for our negative experience unprompted and made it right. Blown away by the customer service. Every other airline is just headache after headache after headache with absolutely no reprieve or compensation and itâ€™s just not worth the money in comparison. Delta is a little pricier than other but absolutely worth it in the end."
24,10,15,January,2023,Economy Class,New York , Orlando       ,Direct Flight,Solo Leisure,United States, Trip Verified ,"  Kiosk for bag check in having issues and was forced to see a representative. Was told I was 5 minutes too late and could no longer check the bag. I was required to schedule a new flight to a new city. Horrible service. Fly frontier, at least they don't pretend they're something they're not."
25,1,9,January,2023,Economy Class,Boston , Atlanta        ,Direct Flight,Solo Leisure,United States, Trip Verified ,"  Flight was not bad and staff was friendly however once things go wrong do not expect any help or customer service. I arrived in ATL and they lost my bag only to be told by the ticket agent maybe it was stolen ... seriously. Next I'm told to open a delayed bag case. Nothing done by the airline after this. I had to call constantly and with no updates or help I had to track down the bag myself by calling everywhere, somehow it ended up with American Airlines. The staff at American was friendly and helpful and offered to get the bag to Delta. I could not contact anyone at Delta to accept the bag and calling their ""customer service "" line is useless. Tooke two more days and countless calls to get my bag correctly sent to me then another day to get them to deliver it. Each person I spoke to was nice enough and professional but each one told me they could not help so what are they even calling it customer service for."
26,1,8,January,2023,Economy Class,Dallas , Los Angeles ,Direct Flight,Business,United States,Not Verified ,"  Delta cancelled the flight because they did not have an airplane available. Really?! They rebooked us the next day with a layover on the east coast. We booked another airline for about 3 times the price we paid on Delta. Same days tickets are expensive! Called Delta twice to get a refund. Wait time 40 minutes? Asked for a refund. We just learned that the return flight was never cancelled. Wait time to ask yet again for the refund, 59 minutes. This is another bad experience with Delta Airlines"
27,1,6,January,2023,Economy Class,Boston , Portland        ,Direct Flight,Solo Leisure,United States,Not Verified ,"  It was the worst experience I ever had. I am 19 year old, first time travelling alone from College to home (Boston to Portland). Delta cancelled my flight 5 hrs ahead and rebooked me for the next day. Then just about to fly to first leg, they cancelled my 2nd leg flight. At MSP I pleaded to the agents at the Airport and finally got a flight for SEA. I reached 5pm PST in Seattle (after so many cancelations). My next flight to final destination (PDX) was 7.56pm. They kept delaying the flight to 1.45am and finally announced that flight ws canceled. Really. They did not book me to any flight and did not offer any hotel. What do I do at the airport. My parent immediately booked a ticket for the next available flight at 7.30am for a premium price of ~ $520. (A flight which usually cost under $100). Early morning when I reached to the counter to see if I can use my original last leg so I do not have to pay double. I was told they cant do any thing even though my original ticket was to PDX. Desperate to go home first time after 1st semester of my college I boarded the flight on my new ticket and saw empty seats. It is just ridiculous when airlines try to make money and not care about customers. My parents have to shelve out $520 just to fly me from SEA to PDX even though I already had a ticket up to PDX. What a shame! I have spent more then 10 hrs and their customer service is just going in circles and not willing to help. I hope Delta would listen to this feedback. I am not going to fly Delta any more and do not recommend."
28,1,2,January,2023,Economy Class,Atlanta , Pensacola        ,Direct Flight,Family Leisure,United States,Not Verified , I am so disappointed. I am writing this for my 77 year old mother who is now sitting in a cold airport until 9am. Her flight has been cancelled and since it is weather related she is left to fend for herself. This is not ok. There should be some sort of accommodation or at least assistance and a discount. How would they feel if it was their mother in this situation
29,1,31,December,2022,Economy Class,Buffalo , Anchorage        ,Direct Flight,Business,United States,Not Verified ," Booked with Delta for multiple connecting flights to go from Buffalo to Detroit, Detroit to Seattle, and then from Seattle to Anchorage. First flight out of Buffalo was delayed over an hour with minimal communication, causing me and many others to miss our connecting flights in Detroit. After spending 5 hours in the Detroit airport talking to help desk staff (who were very nice), I was told that they booked me for a flight on New Yearâ€™s Day. All they could give me to make up for their mistake was a $15 food voucher that expired at midnight so I couldnâ€™t use it before the next flight. Awful experience, choosing any other airline, even the more expensive, from now on!"
30,1,31,December,2022,Premium Economy,Ft Lauderdale , West Virginia , Atlanta    ,Family Leisure,United States, Trip Verified ,"  Re missed DL5143 flight from Atl to CRW. The 4 person Young Family arriving on DL1550 from FFL sprinted from arrival gate to departure gate arriving at 10:42 were denied entry. Flight boarded 10 min early. Changed this morning while we were in flight. Rebooked on flight DL4671 at 9:22 pm. Now a 10hr layover. We asked why it was not recognized that we were on a DL connecting flight and provided a meager 5 - 10 min, which would have been the original scheduled departure. Answer was they would get in trouble if they caused the flight to be Late. Simply very disappointing and surprised that Delta is operating this way. Our arrival destination of CRW is not a hub. Waiting 5 - 10 min on connecting flight departing Early? for a family of 4 would not have affected anyoneâ€™s schedule. I have been given the same reason for a slightly delayed departure by flight attendants. Delta is my favorite airline but my faith has been eroded. And Iâ€™m a little angry. Sitting in Buffalo Wild Wings for next 9 hours."
31,5,28,December,2022,Premium Economy,Florida , Washington DC , Atlanta     ,Family Leisure,United States,Not Verified ," Flew from Palm Beach to Washington DC for my motherâ€™s funeral. Delta had delayed flights, and then itâ€™s my luggage. The tracking software never updates from â€œout for deliveryâ€ and there is a 4 plus hours on hold when you call Delta. In the mean time, sitting in a hotel with no luggage, no clothes, no toothbrush etc. The last time they lost our luggage it was 3 days in a hotel with no clothes. Hereâ€™s hoping this wonâ€™t be the same - or Iâ€™ll be at my momâ€™s funeral in jeans and sweatshirt."
32,2,27,December,2022,Economy Class,Atlanta , San Diego       ,Direct Flight,Couple Leisure,United States,Not Verified ," The flight crew from Atlanta to San Diego on Dec 26,2022 was wonderful. One was especially kind and thoughtful. The pilots stood outside the cockpit to say goodbye, and their sincerity was evident. Delta's crews are not always like this, so I wanted to thank them for their service."
33,10,25,December,2022,Economy Class,Seattle , Amsterdam        ,Direct Flight,Family Leisure,United States, Trip Verified ,"  Delta canceled our flight just before Christmas, No explanation or options to chose from at the counter. Booked us to fly on Christmas day, 1h layover to get to our connecting flight and no option to chose a seat. Because of Delta my kids will not spend Christmas with they're grandparents (my youngest never seen them) but on airports and connecting planes. When checking in for the re-booked flights noticed there where no available seats on the flight, tried to get in touch with they're customer service, but after 3h on the phone and multiple attempts online I gave up. It's now 3 am and I can't sleep, wondering If I will still be able to fly and see my family tomorrow. Worst experience with an airline ever, and I use budget ones quite a lot."
34,1,25,December,2022,Economy Class,Atlanta , Denver        ,Direct Flight,Family Leisure,United States,Not Verified ,"  I never had good experience with this Airline, but my last two experiences are the whole new level. In summer of 2022 I was booking flights back from Europe for my family and they double charged me for same flights and took them 3 weeks to refund the money. In December they canceled our flights to Colorado last-minute two days in a row, and would not rebook us until well half way into our vacation. Insultingly they tried to offer us a layover flight in Los Angeles, on day 4 and even that without a guarantee that would make our direct flight I paid more for, an 8 hour travel. We spent two days including Christmas Eve trying to get a resolution with customer service (if you can call it that). We lost all the money we paid for our stay in Colorado, and ended up staying in Atlanta for the holidays with no plans, and no vacation days left. My emotions aside, this company simply does not feel the need to care for their passengers. Our well being and experience simply takes the backseat, and their frontline people hide behind the process and simply shrug it off. We are simply cargo to them, and cargo can be shuffled around and delayed with no consequences. They surely do not live up to their tone-deaf advertisements they make us watch prior to takeoff. What grinds my gears even more is that they will make you move a pound of language from one bag and right into another because of 'weight limit'. Defies all logic. All bags - by weight and volume still ends up on the same plane. Why would a company have processes in place to add to the passenger frustration, and intentionally not do anything about it. They fully capable to provide everyone care, but they make conscious effort to not do that. They ask us to complete surveys, and I'm sure they get plenty of feedback like this, but they simply chose to not do anything about it. What a shame."
35,1,24,December,2022,Economy Class,New York , San Juan      ,Direct Flight,Family Leisure,United States,Not Verified ,"  In April 2022, book my flight with Delta to connect to my cruise in Miami. It was my birthday celebration. Delta claim they had a pilot problem. I end up missing my flight but what is worst is, after Delta told us they will provide transportation to the cruise, they left stranded on our own. When we finally got to the Shipping Port, the ship had already left. Now, in December as I write this review I am at JFK again since 4:00am this morning. When I left home my flight was schedule to arrive on time. By the time I got to the airport, the flight is cancel. It is now 11:25am and Delta representatives has given me the push around all morning except for one young who has been trying his best to help us. We call the Delta line about twenty times and when we do got somebody they put us on hold for four hours. My son whoâ€™s birthday we are celebrating is still waiting for someone from Deltaâ€™s headquarters to answer the phone. Mind you we are holding for four hours now and I am not exaggerating. We just cannot delete with the continual push around so we endeavor to stay online no matter how long they have us to wait. Our family friends who is celebrating twenty seven years of marriage has already miss much of their activities for their celebration. We are now trying to get to San Juan because we cannot connect with the ship in Orlando anymore, so we have to connect in San Juan and we are still having the run around. No one has even come to us to offer some sought of comfort. Thereâ€™s one young who has been doing whatever he can but he still needs his supervisors approval and he is having the round around as well. Delta is a disappointment and a public disgrace. No one should ever flight with this airline again. I am so terribly disappointed."
36,1,24,December,2022,Economy Class,Amsterdam , Chicago        ,Direct Flight,Family Leisure,United States,Not Verified ,"  This is the worst airline by far. My sister flying in from Amsterdam to America for the first time waited at JFK for 24 hrs. Delta staff was rude and unhelpful. Once we were able to rebook her canceled flight she was rebooked to a layover in Atlanta. Her 3 hr layover had an additional 5 hour delay, right before she was supposed to board they pushed the flight another hour(it is now 4am). The airline canceled the flight at 4am after a 5+ hr delay. When trying to get some answered the Delta worker told her â€œnoâ€ when she asked if she could get a question answered. This poor girl has been in airports for over 48 hours with multiple delayed and last minute canceled flights without any assistance, compassion, or kindness from the state. Iâ€™m embarrassed that this is her first experience in America."
37,1,24,December,2022,Premium Economy,Halifax , Cleveland , Toronto /New York    ,Solo Leisure,United States, Trip Verified ,"  This is the worst flying experience I have ever had with any airline. I traveled from Halifax Nova Scotia to Toronto to New York and all the way to Cleveland Hopkins, and my bag was mishandled and landed in Atlanta, Georgia somehow. I have over $800 of gifts, clothes, and belongings in that bag. I have no clothes, toiletries, or gifts for Christmas. I talked to the representative in Cleveland at the Delta baggage claim. They told me the bag would arrive an hour later that night and it would be delivered after. Then the man at the desk calls me 20 min after I left the airport and tells me itâ€™s actually going to arrive the following night at 10 pm. That flight gets canceled and I am told it is going to arrive the next day. That flight also gets canceled. I call delta and try to get a timeframe for delivery and the representative hangs up on me. Then I call again and tell them to reroute the bag to Norfolk, Virginia where Iâ€™m spending Christmas with my family. I texted the rep again using the Delta texting service to ensure it was going there. They said it was going to ORF airport and that there was no update in the system yet. I woke up today Sat Dec 24th to find out my bag is now going from ATL-CLE on DL 1355 even though I specifically instructed Delta two times over the phone and text service to deliver it to Norfolk, Virginia. Now Iâ€™m leaving for my trip to Norfolk, VA and I donâ€™t think my bag is going to get delivered on time. I am without gifts, clothes, and all other belongings and Delta has ruined the holidays for me. Worst flying experience of all time. Never want to fly Delta again. I deserve compensation for this experience."
38,1,23,December,2022,Economy Class,Denver , Hawaii        ,Direct Flight,Couple Leisure,United States, Trip Verified ,"  First and foremost, your employees are amazing from the people that helped us at the airport and on the airplane. Iâ€™m assuming the people on the grounds are also working as hard as they can. But you as a company suck. You have over-extended yourself and make promises to customers that you never follow through with and you believe that your vouchers and your credits will make it better. I donâ€™t travel a ton. In fact, maybe once a year, but I am seasoned. I have never flown Delta until this time to Hawaii from Denver. I have never been so disappointed in my life. Delta behaved like it never knew any type of weather existed or knowledge of the workings of an airport. I understand there are always going to be limitations. I have been through delays but nothing like this. My first delay from this trip was due to weather from another city - fine. But it was delayed even further because when we were got to Seattle, there wasnâ€™t a loading bridge that could unload us from the airplane - it was coming from the S gate to the A gate and the pilot didnâ€™t know why. We missed our flight to Hawaii by 10 minutes and couldnâ€™t get one until the next day. If you donâ€™t have the workers/materials or have the workings of the flight even if delayed planned out, donâ€™t make these promises that you can get us there. Do your due diligence and make sure things are running smoothly at the airports you do business at. The next day when we flew out of Seattle to Hawaii - they had to taxi us back due to mechanical issues. After about 45 minutes, I thanked the mechanics after they departed and we were off. Better safe than sorry for this delay. And now that Iâ€™m thinking about it, this was Hawaiian airlines. I do have to say when we did land in Hawaii that day, the luggage people at Delta went way beyond my expectations! It was waiting at their customer service office. Coming home from the LA airport was also a terrible experience. We were of course delayed (no reason given) which was fine but when we were all boarded, we were having issues with the push off tug and we were delayed another hour because we had to wait for another one then when we finally made it to Denver at around 11:30, we had to sit on the plane for two hours with really no true explanation as to why. There were two planes that passed us by & they both went to their unloading gate. I understand weather, I understand shortages of workers but Delta acted as if does not. Donâ€™t offer flights if you canâ€™t follow through to just attempt to get us to the gate in a timely manner. Again the employees were top notch except for your customer service via chat - they couldnâ€™t do nearly as much as when we waited in line for two hours to talk to a human which Iâ€™ll never understand why either - my questions were the same. Bottom line, Delta donâ€™t make promises to your customers you never planned to keep. And give all your employees raises for dealing with your crap!"
